rawfile,character/char_jap_impinf_player_rifle.gsc
xmodel,char_jap_impinf_player_body_rifle
xmodel,char_jap_impinf_player_head_rifle
xmodel,viewmodel_jap_infantry_ghillie_arms
xmodel,char_jap_impinf_body4_2_m_g_upclean
xmodelalias,char_jap_impinf_body2_m_g_rarmoffalias
xmodelalias,char_jap_impinf_body2_m_g_larmoffalias
xmodelalias,char_jap_impinf_body2_m_g_torsoalias
xmodel,char_jap_impinf_body4_2_m_g_behead
xmodel,char_jap_impinf_body4_2_m_g_lowclean
xmodelalias,char_jap_impinf_body2_m_g_rlegoffalias
xmodelalias,char_jap_impinf_body2_m_g_llegoffalias
xmodelalias,char_jap_impinf_body2_m_g_legsoffalias
xmodel,char_jap_impinf_body4_m_g_rarmspawn
xmodel,char_jap_impinf_body4_m_g_larmspawn
xmodel,char_jap_impinf_body4_m_g_rlegspawn
xmodel,char_jap_impinf_body4_m_g_llegspawn
