rawfile,character/char_rus_r_tanker.gsc
xmodel,char_rus_tanker_body1
xmodelalias,char_rus_guard_headalias
xmodelalias,char_rus_tanker_helmalias
xmodel,char_rus_guard_body1_g_upclean
xmodelalias,char_rus_guard_g_rarmoffalias
xmodelalias,char_rus_guard_g_larmoffalias
xmodelalias,char_rus_guard_g_torsoalias
xmodel,char_rus_guard_body1_g_behead
xmodel,char_rus_guard_body1_g_lowclean
xmodelalias,char_rus_guard_g_rlegoffalias
xmodelalias,char_rus_guard_g_llegoffalias
xmodelalias,char_rus_guard_g_legsoffalias
xmodel,char_rus_guard_body1_g_rarmspawn
xmodel,char_rus_guard_body1_g_larmspawn
xmodel,char_rus_guard_body1_g_rlegspawn
xmodel,char_rus_guard_body1_g_llegspawn
