# Map Data Table,,,,,,,,,,
a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
maxnum_map,13,,,,,,,,,
#mapname,#allies characters,#axis characters,#mapname,#mapimage,#index,#description,#mapoverlay,#map size description,#vehicles,#splitscreen
mp_airfield,pacific,pacific,MPUI_AIRFIELD,loadscreen_mp_airfield,0,MPUI_DESC_MAP_AIRFIELD,compass_overlay_map_airfield,LARGE,NO,NO
mp_asylum,german,german,MPUI_ASYLUM,loadscreen_mp_asylum,1,MPUI_DESC_MAP_ASYLUM,compass_overlay_map_asylum,MEDIUM,NO,YES
mp_castle,pacific,pacific,MPUI_CASTLE,loadscreen_mp_castle,2,MPUI_DESC_MAP_CASTLE,compass_overlay_map_castle,MEDIUM,NO,YES
mp_shrine,pacific,pacific,MPUI_SHRINE,loadscreen_mp_shrine,3,MPUI_DESC_MAP_SHRINE,compass_overlay_map_shrine,LARGE,NO,YES
mp_courtyard,pacific,pacific,MPUI_COURTYARD,loadscreen_mp_courtyard,4,MPUI_DESC_MAP_COURTYARD,compass_overlay_map_courtyard,SMALL,NO,YES
mp_dome,german,german,MPUI_DOME,loadscreen_mp_dome,5,MPUI_DESC_MAP_DOME,compass_overlay_map_dome,SMALL,NO,YES
mp_downfall,german,german,MPUI_DOWNFALL,loadscreen_mp_downfall,6,MPUI_DESC_MAP_DOWNFALL,compass_overlay_map_downfall,LARGE,YES,NO
mp_hangar,pacific,pacific,MPUI_HANGAR,loadscreen_mp_hangar,7,MPUI_DESC_MAP_HANGAR,compass_overlay_map_hangar,MEDIUM,NO,YES
mp_makin,pacific,pacific,MPUI_MAKIN,loadscreen_mp_makin,8,MPUI_DESC_MAP_MAKIN,compass_overlay_map_makin,MEDIUM,NO,YES
mp_outskirts,german,german,MPUI_OUTSKIRTS,loadscreen_mp_outskirts,9,MPUI_DESC_MAP_OUTSKIRTS,compass_overlay_map_outskirts,LARGE,YES,NO
mp_roundhouse,german,german,MPUI_ROUNDHOUSE,loadscreen_mp_roundhouse,10,MPUI_DESC_MAP_ROUNDHOUSE,compass_overlay_map_roundhouse,MEDIUM,YES,NO
mp_seelow,german,german,MPUI_SEELOW,loadscreen_mp_seelow,11,MPUI_DESC_MAP_SEELOW,compass_overlay_map_seelow,LARGE,YES,NO
mp_suburban,german,german,MPUI_SUBURBAN,loadscreen_mp_suburban,12,MPUI_DESC_MAP_SUBURBAN,compass_overlay_map_suburban,MEDIUM,NO,YES
dlc,pacific,pacific,MP_DLC_MAPS,download_screen,13,PLATFORM_DLCMAPS,compass_overlay_map_blank,MEDIUM,NO,NO
