name,black_level,white_level,gamma,saturation
default,0,0.75,1,1
aftermath,0,1,1,1
airlift_air,0.05,1,0.9,0.5
airlift_cobrastreets,0,0.6,1.3,0.5
airlift_smoketown,0,0.6,1.3,0.5
airplane,0.1,0.8,1,1
ambush,0,1,1,1
armada_tv_room,0.1,0.7,1,1.2

ber1_exterior,0,0.75,1,1
ber1_interior,0,0.75,1,1
ber1_interior_dark,0,0.75,1,1
ber1_train,0.2,0.8,1.5,0.6
ber2_exterior,0.2,0.8,1.2,0.6
ber2_exterior_dark,0,0.75,1,1
ber2_interior,0,0.75,1,1
ber2_metro_light,0.15,0.35,1,0.8
ber3_exterior,0,0.75,1,1
ber3_interior,0,0.75,1,1

blackout,0.16,0.5,0.3,0.5
blackout_end,0.04,0.5,0.7,1
blackout_interior,0.1,0.7,0.3,0.4
bog_a_bog,0.1,0.45,1,0.8
bog_a_bridge,0.1,0.45,1,1.5
bog_a_shanty,0.07,0.4,1,0.8
bog_b_int,0.1,0.7,1,1
bog_b_tanknode,0.15,0.5,0.8,0.6
brightrim,0.15,0.35,1,0.8
cargoship,0.1,0.9,1,1
coup,0.4,0.8,0.5,0.7
dark,0,2,1,1
dark_corner,0.1,0.35,1,1
dark_hallway,0.05,0.4,1,0.8
daylight,0.2,1,1.2,0.6
hunted,0.14,0.5,0.6,0.5
icbm_start,0.1,0.75,1,0.4
jeepride,0,1,1,1
killhouse_interior,0.2,0.8,1.5,0.6
launchfacility_a,0.2,1,1.2,0.6
launchfacility_b,0,1,1,1
mak_hut,0.05,0.55,1.2,0.5
makin,0.1,0.5,0.6,0.5
mp_farm,0,1,1,1
mp_weapontest,1,1,1,1
oki2,0,1.7,1,1
parabolic_exterior,0.1,0.45,1,1.5
parabolic_interior,0,1,1,1
pel1,0,2,0.5,2
rimtest,0.1,0.35,1,0.4
scout_sniper,0.1,0.7,1.2,0.5
scoutsniper_int,0.1,0.7,1.2,0.5
see2_train,0.2,0.8,1.5,0.6
sniper,0.1,0.7,1.2,0.5
tv_atrium,0.3,0.7,1.2,0.5
village_daylight,0.2,0.8,1.2,0.6
village_night,0.092,0.35,1,0.7
zipline_exterior,0.13,0.35,0.4,0.6
zipline_interior,0,1,1,1
zombie,0,0.6,1,1
