name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle,doppler

# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX_intro_stg,,Stream/Music/Mission/Ber2/mx_intro_stg.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,6000,music_all,,,,,,0,,,,,,100,100,0.25,1,,
MX_underscore,,Stream/Music/Mission/Ber2/mx_underscore_nodrum.wav,,0.9,0.9,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
mx_bank_stg,,Stream/Music/Mission/ber2/mx_bank_stg.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
MX_underscore_drum,,Stream/Music/Mission/Ber2/mx_underscore_clip.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.9,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
mx_boldmen_city,,Stream\Music\Mission\ber2\mx_boldmen_city_loop.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.9,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_boldmen_stg,,Stream/Music/Mission/Ber2/mx_boldmen_city_stg.wav,,0.8,0.8,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,1500,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_slayem,,Stream/Music/Mission/Ber2/mx_slayem.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.75,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
mx_building_stg,,Stream/Music/Mission/Ber2/mx_building_stg.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_runmortars,,Stream/Music/Mission/Ber2/mx_run_mortars.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.85,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
mx_subway,,Stream/Music/Mission/Ber2/mx_subway_alt_c.wav,,0.8,0.8,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
mx_subway_loop,,Stream/Music/Mission/Ber2/mx_subway_loop.wav,,0.85,0.85,,,,,,,music,,,0.5,,,,,,,2d,streamed,,looping,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_end_stg,,Stream/Music/Mission/ber2/mx_bank_stg.wav,,0.6,0.6,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,



# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#outdoor_wind,,Stream/Backgrounds/Wind/ext_wind/ext_wind_00.wav,,0.4,0.4,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,500,music,,,,,,,,,,,,100,100,0.25,1
partial_room_wind,,Stream/Backgrounds/Wind/int_wind/int_wind_00.wav,,0.5,0.5,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,500,music,,,,,,,,,,,,100,100,0.25,1
#closed_room_wind,,Stream/Backgrounds/Wind/int_wind/int_wind_00.wav,,0,0,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,500,music,,,,,,,,,,,,100,100,0.25,1
bgt_small_tunnel,,Stream/Backgrounds/cave/int_cave/int_cave_01.wav,,0.7,0.7,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1
bgt_large_tunnel,,Stream/Backgrounds/cave/int_cave/int_cave_00.wav,,1,1,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1
bgt_large_tunnel_filtered,,Stream/Backgrounds/cave/int_cave/int_cave_filtered_00.wav,,1,1,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1
#air_raid_siren,,SFX/Amb/air_raid/air_raid_00.wav,,0.8,0.8,10000,20000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.75,,,,,,100,100,0.25,1
air_raid_siren,,null.wav,,0.8,0.8,10000,20000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.75,,,,,,100,100,0.25,1
weapons_rocket_explosion,,null.wav,,0.8,0.8,10000,20000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.75,,,,,,100,100,0.25,1
ber3b_lightbulb_break,,null.wav,,0.8,0.8,10000,20000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.75,,,,,,100,100,0.25,1
#line_emit_planea,,SFX/Vehicles/Planes/P47/loop/loop_00.wav,,0.05,0.05,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#line_emit_planeb,,SFX/Vehicles/Planes/P47/loop/loop_01.wav,,0.05,0.05,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#line_emit_planec,,SFX/Vehicles/Planes/P47/loop/loop_02.wav,,0.6,0.6,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75

bgt_small_room,,Stream\Backgrounds\ber2\subway_rooms\bunker_00.wav,,0.7,0.7,250,500,,,,,full_vol,,,0,600,,curve4,,,,3d,streamed,,looping,,,,,,,,wpn_all,,,,,,0.15,,,,,,50,80,0.25,1
bgt_small_room_start,,Stream\Level\ber2\elec_room\elec_start.wav,,0.7,0.7,250,500,,,,,full_vol,,,0,600,,curve4,,,,3d,streamed,,,,,,,,,,wpn_all,,,,,,0.15,,,,,,50,80,0.25,1
bgt_small_room_stop,,Stream\Level\ber2\elec_room\elec_stop.wav,,0.7,0.7,250,500,,,,,full_vol,,,0,600,,curve4,,,,3d,streamed,,,,,,,,,,wpn_all,,,,,,0.15,,,,,,50,80,0.25,1
#bgt_small_room_line,,Stream\Backgrounds\ber2\subway_rooms\bunker_line_00.wav,,1,1,250,500,,,,,full_vol,,,0.3,600,,curve4,,,,3d,streamed,,looping,,,,,,,,,,,50,250,1,0.15,,,,,,50,80,0.25,1



amb_light_hum,,SFX\Amb\lightbulbs\light_humming_00.wav,,0.7,0.7,200,600,,,,,full_vol,,curve2,1,1800,,curve4,,,,3d,,,looping,,,,,,,,,,,,,,0.3,,,,,,10,40,0.25,1
