name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold


# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevator_start,,sfx/levels/mp_carrier/elevator_start.wav,1,1,,,100,1000,1200,,,,,ambience,60,3d,,,,,all_mp,,,,,,,,,,,,,,,,,0,25,100,0.25,1
elevator_loop,,sfx/levels/mp_carrier/elevator_loop.wav,1,1,,,100,1000,1200,,,,,ambience,60,3d,,,looping,,all_mp,,,,,,,,,,,,,,,,,0,25,100,0.25,1
elevator_end,,sfx/levels/mp_carrier/elevator_end.wav,1,1,,,100,1000,1200,,,,,ambience,60,3d,,,,,all_mp,,,,,,,,,,,,,,,,,0,25,100,0.25,1

klaxon,,sfx/levels/mp_carrier/klaxon_01.wav,1,1,,,100,2000,2500,,,,,ambience,60,3d,,,looping,,all_mp,,,,,,,,,,,,,,,,,0,25,100,0.25,1
