name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold


# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_on_hill_L,,Stream\Level\mak\line_wind\wind_on_hill_L.wav,!wii,0.35,0.35,1,1,400,1200,1500,,,,,ambience,,3d,streamed,,looping,,,,,,,,,curve2,,,,,,,250,400,0.7,0.5,20,50,0.25,1
wind_on_hill_R,,Stream\Level\mak\line_wind\wind_on_hill_R.wav,!wii,0.35,0.35,1,1,400,1200,1500,,,,,ambience,,3d,streamed,,looping,,,,,,,,,curve2,,,,,,,250,400,0.7,0.5,20,50,0.25,1

low_wind,,sfx\levels\mp_subway\wind\subway_ind_wind.wav,!wii,0.3,0.3,,,10,250,400,,,,,ambience,90,3d,,,looping,,,curve2,,,,,,curve2,,,,,,,50,100,0.7,0.6,20,80,0.25,1

int_wind,,stream/backgrounds/wind/int_wind/int_wind_00.wav,!wii,0.7,0.7,1,1,,,,,,,,ambience,90,2d,,,looping,,,,,,,,,,,ambience,,,,,,,,,20,80,0.25,1

#forest_birds,,sfx/levels/mp_castle/forest_birds_loop.wav,!wii,0.5,0.5,,,100,1200,1500,,,,,ambience,90,3d,streamed,,looping,,,curve3,,,,,,curve2,,,,,,,250,400,0.7,0.5,20,80,0.25,1
forest,,sfx/levels/mp_castle/forest_loop.wav,!wii,0.5,0.5,,,400,1200,1500,,,,,ambience,90,3d,,,looping,,,curve3,,,,,,curve2,,,,,,,250,400,0.7,0.1,20,80,0.25,1

# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window_gust,,sfx/amb/wind/gusts/3d/med_##,!wii,0.2,0.3,0.9,1.05,50,500,1000,,,,,ambience,50,3d,,0.4,,,,curve3,,,pitch,,,curve2,,,,,,,,,,,30,50,0.1,1

amb_wind_trees,,SFX/Amb/Wind/leaves_##,!wii,0.25,0.5,0.95,1.2,250,1400,2000,,,,,ambience,50,3d,,0.65,,,,curve1,,,pitch,,,curve2,,,,,,,,,,,30,50,0.1,1
amb_wind_grass,,SFX/Amb/Wind/gusts/thrugrass_##,!wii,0.2,0.45,,,10,800,1200,,,,,ambience,50,3d,,,,,,curve3,,,,,,curve2,,,,,,,,,,0.2,30,50,0.1,1

amb_creek_00,,SFX\Levels\Makin\creek\creek_00.wav,!wii,0.75,0.75,0.9,1.05,500,1500,1800,,,,,ambience,60,3d,,,looping,,,curve3,,,pitch,,,curve2,,,,,,,250,800,0.5,,30,50,0.1,1
