name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold


# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost_wind_l_00,,sfx/levels/mp_nachtfeuer/ghost_wind_l_00.wav,!wii,1,1,1,1,600,1200,1450,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1
#ghost_wind_l_00,,sfx/levels/mp_nachtfeuer/ghost_wind_l_01.wav,!wii,1,1,1,1,600,1200,1450,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1
ghost_wind_r_00,,sfx/levels/mp_nachtfeuer/ghost_wind_r_00.wav,!wii,1,1,1,1,600,1200,1450,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1
#ghost_wind_r_00,,sfx/levels/mp_nachtfeuer/ghost_wind_r_01.wav,!wii,1,1,1,1,600,1200,1450,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,250,,,,,,

dome_int_l,,sfx/levels/mp_dome/dome_int_eq_l.wav,!wii,0.75,0.75,1,1,600,1000,1200,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1
dome_int_r,,sfx/levels/mp_dome/dome_int_eq_r.wav,!wii,0.75,0.75,1,1,600,1000,1200,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,0.3,,,,150,250,0.8,0.2,20,50,0.25,1

arty_aftershock,1,SFX/Levels/Berlin_2/arty_metro/arty_metro_00.wav,!wii,0.6,0.6,,,1000,10000,,,,,,explosion,,2d,,,,,,,,,,,,,,ambience,,,,,,,,,100,100,0.25,1
arty_aftershock,2,SFX/Levels/Berlin_2/arty_metro/arty_metro_01.wav,!wii,0.6,0.6,,,1000,10000,,,,,,explosion,,2d,,,,,,,,,,,,,,ambience,,,,,,,,,100,100,0.25,1
arty_aftershock,3,SFX/Levels/Berlin_2/arty_metro/arty_metro_02.wav,!wii,0.6,0.6,,,1000,10000,,,,,,explosion,,2d,,,,,,,,,,,,,,ambience,,,,,,,,,100,100,0.25,1

howling_wind,,stream/backgrounds/wind/int_wind/int_wind_04_l.wav,!wii,0.6,0.6,1,1,350,650,750,,,,,ambience,60,3d,streamed,,looping,,,curve3,,,,,,curve3,,,,,,,,,,0.4,20,80,0.25,1

# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
