name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bgt_base,,Stream\Backgrounds\Wind\light_wind\light_wind.wav,!wii,0.2,0.2,,,,,,,,,,ambience,90,2d,streamed,,looping,,,,,,,,,,,,ambience,,,,,,,,,,,100,100,0.25,1
#none,,null.wav,,0.2,0.2,,,,,,,,,,ambience,90,2d,streamed,,looping,,,,,,,,,,,,ambience,,,,,,,,,,,100,100,0.25,1
#bgt_bunker,,SFX/Amb/Pacific/Room_Tones/pac_night_calm_bunker.wav,!wii,0,0,,,,,,,,,,ambience,90,2d,streamed,,looping,,,,,,,,,,,,ambience,,,,,,,,,,,100,100,0.25,1

ocean_calm_l,,Stream\Level\training\ocean\ocean_waves_00.wav,!wii,0.6,0.6,0.9,1,500,1800,2200,,,,,ambience,50,3d,,,looping,,,curve3,,,pitch,,,curve2,,,,0.35,,,,10,400,0.25,0.1,no,no,50,80,0.25,1
ocean_calm_r,,Stream\Level\training\ocean\ocean_waves_00.wav,!wii,0.6,0.6,0.9,1,500,1800,2200,,,,,ambience,50,3d,,,looping,,,curve3,,,pitch,,,curve2,,150,,0.35,,,,10,400,0.25,0.1,no,no,50,80,0.25,1


#ocean_distant,,SFX/Amb/Pacific/ocean/Surf2.L.wav,!wii,0.6,1,0.6,0.7,250,8000,,,,,,ambience,50,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,

dist_ocean_L,,SFX\Levels\training\ocean_left_channel.wav,!wii,0.65,0.65,1,1.1,500,3000,4000,,,,,ambience,,3d,,,looping,,,curve4,,,pitch,,,curve2,,,,0.35,,,,,,,0,no,no,20,50,0.25,1
