name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,move_type,move_time,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoors_wind,,Stream/backgrounds/training/bg_steady_c.wav,!wii,0.9,0.9,1,1,,,,,,,,ambience,,2d,streamed,,looping,,all_mp,curve2,,,,,,curve3,,ambience,,,,,,,,,,,20,50,0.25,1

pipe_tone,,Stream\Backgrounds\cave\int_cave\int_cave_filtered_00.wav,!wii,0.7,0.7,1,1,,,,,,,,ambience,,2d,streamed,,looping,,all_mp,curve2,,,,,,curve3,,ambience,,0.6,,,,,,,,,20,50,0.25,1

underhill_tone,,Stream\backgrounds\room_tones\ber3b_partial_low_00.wav,!wii,0.7,0.7,1,1,,,,,,,,ambience,,2d,streamed,,looping,,all_mp,curve2,,,,,,curve3,,ambience,,0.6,,,,,,,,,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

water_stream,,SFX/amb/water/stream/quiet_stream.wav,!wii,0.88,0.88,0.9,1.1,50,750,850,2,reject,,,ambience,,3d,,,looping,,all_mp,curve3,,,,,,curve3,,,0.9,,,,,,,,,,20,50,0.25,1

tree_wind,,SFX/amb/wind/leaves_##,!wii,0.6,0.8,0.9,1.1,500,1800,2800,,,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,,,,,,,,,0.5,20,50,0.25,1


amb_crow,,SFX/amb/animals/raven_##,!wii,0.4,0.6,0.9,1.1,200,1300,1500,,,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,0.5,,,,,,,,,0.2,20,50,0.25,1



,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bugs_wall,1,SFX/amb/animals/wall_of_bugs/wall_of_bugs_01.wav,!wii,0.18,0.2,0.9,1.1,200,1700,1800,,,,,ambience,,3d,,,looping,,all_mp,curve3,,,,,,curve3,,,0.5,,,,,,,,,0.2,20,50,0.25,1
bugs_wall,2,SFX/amb/animals/wall_of_bugs/wall_of_bugs_02.wav,!wii,0.18,0.2,0.9,1.1,200,1700,1800,,,,,ambience,,3d,,,looping,,all_mp,curve3,,,,,,curve3,,,0.5,,,,,,,,,0.2,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
