name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp_defeat,,stream\music\mp\mp_defeat.wav,,0.4,0.4,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
#mp_spawn_japanese,,stream\music\mp\mp_spawn.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
#mp_spawn_german,,stream\music\mp\mp_spawn.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
#mp_spawn_soviet,,stream\music\mp\mp_spawn.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
#mp_spawn_usa,,stream\music\mp\mp_spawn.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_01,,stream\music\mp\mp_suspense_00.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_02,,stream\music\mp\mp_suspense_01.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_03,,stream\music\mp\mp_suspense_02.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_04,,stream\music\mp\mp_suspense_00.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_05,,stream\music\mp\mp_suspense_01.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_suspense_06,,stream\music\mp\mp_suspense_02.wav,,0.3,0.3,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_time_running_out_losing,,stream\music\mp\mp_time_lose.wav,,0.45,0.45,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_time_running_out_winning,,stream\music\mp\mp_time_lose.wav,,0.45,0.45,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
#mp_victory_japanese,,stream\music\mp\mp_victory.wav,,0.6,0.6,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_challenge_complete,,Stream\Music\mp\achievement\mp_achievement.wav,,0.6,0.6,1,1,,,,1,reject,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_level_up,,Stream\Music\mp\achievement\mp_level_up.wav,,0.6,0.6,1,1,,,,1,reject,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NEW Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mx_defeat,,stream\music\mp\mp_defeat.wav,,0.4,0.4,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
