name,platform,mature,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Background Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plane_interor,,,Stream\Level\pby_fly\plane_interior\plane_int.wav,,0.6,0.6,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,looping,,,,,,,,wpn_all,,,,,,,no,no,,,100,100,0.25,1,
at_sea,,,Stream/Level/pby_fly/ocean_amb/ocean_amb.wav,,0.6,0.6,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,looping,,,,,,,,wpn_all,,,,,,,no,no,,,100,100,0.25,1,
# Line Sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Merchant Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_intro,,,Stream\Music\Mission\pby\final\mx_intro.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,1000,music,,,,,,,no,no,,,100,100,0.25,1,
mx_merch_loop_a,,,Stream\Music\Mission\pby\final\mx_loop_a_2.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1,
mx_merch_stg_a,,,Stream\Music\Mission\pby\final\mx_stg_a.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1,
mx_merch_loop_b,,,Stream\Music\Mission\pby\final\mx_loop_b.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1,
#mx_merch_stg_b,,,Stream\Music\Mission\pby\final\,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1,
mx_merch_loop_c,,,Stream\Music\Mission\pby\final\mx_loop_c.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1,
mx_merch_stg_c,,,Stream\Music\Mission\pby\final\mx_stg_a.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1
mx_turning_1,,,Stream\Music\Mission\pby\final\mx_turning_1.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MID IGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_mid_igc,,,Stream\Music\Mission\pby\final\igc\mid_igc_addict.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Zeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_zeros_a,,,Stream\Music\Mission\pby\final\mx_zeros_alt_c.wav,,0.8,0.8,,,,,,,music,,,,,,,1,1,,2d,streamed,,looping,0.9,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Zeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_landing_a,,,Stream\Music\Mission\pby\final\mx_landing.wav,,0.9,0.9,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Zeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_rescue_a,,,Stream\Music\Mission\pby\final\mx_rescue_a.wav,,0.68,0.68,,,,,,,music,,,,,,,1,1,,2d,streamed,,looping,0.85,,,,,,,music,,,,,,,no,no,,,100,100,0.25,1
#END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_level_end,,,Stream\Music\Mission\pby\final\pby_ending.wav,,1,1,,,,,,,music,,,,,,,1,1,,2d,streamed,,,,,,,,,,music_all,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dew,,,SFX\Levels\Berlin_2\wave\dew_01.wav,,0.4,0.4,,,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,wpn_all,,,,,,,no,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
