name,platform,mature,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle

# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_intro,,,Stream\Music\Mission\see1\mx_intro_alt.wav,,0.7,0.7,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_underscore,,,Stream\Music\Mission\see1\mx_underscore_alt.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,looping,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_battle_outside_loop,,,Stream\Music\Mission\see1\final\mx_battle_outside_loop.wav,,0.8,0.8,,,,,,,music,,,,,,,,,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_stress_loop,,,Stream\Music\Mission\see1\mx_stress_loop.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,looping,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_battle_theme,,,Stream\Music\Mission\see1\mx_battle_theme.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,2500,music,,,,,,,,,,,,100,100,0.25,1,
mx_forestfire_loop,,,Stream\Music\Mission\see1\mx_forest_fight.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_bridge_stg,,,Stream\Music\Mission\see1\mx_bridge_stinger_alt_b.wav,,0.8,0.8,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_underscore_evt2,,,Stream\Music\Mission\see1\mx_underscore_evt_2.wav,,0.85,0.85,,,,,,,music,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_russian_theme,,,Stream\Music\Mission\see1\mx_evt_2.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_drum_loop,,,Stream\Music\Mission\see1\final\mx_burst_loop.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,looping,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_evt2_stg,,,Stream\Music\Mission\see1\mx_evt_2_stg.wav,,0.5,0.5,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_tank_surprise,,,Stream\Music\Mission\see1\final\mx_tank_stg.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,

mx_basecamp_theme,,,Stream\Music\Mission\see1\final\mx_atcamp_loop.wav,,0.7,0.7,,,,,,,music,,,,,,,,,,2d,streamed,,looping,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_level_end,,,Stream\Music\Mission\see1\final\level_end_choir.wav,,0.6,0.6,,,,,,,music,,,,,,,,,,2d,streamed,,,0.8,,,,,,2500,music_all,,,,,,,,,,,,100,100,0.25,1




# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoor_wind,,,Stream/Backgrounds/Wind/ext_wind/ext_wind_01.wav,,0.3,0.3,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,,,,
partial_room_wind,,,Stream/Backgrounds/Wind/int_wind/int_wind_00.wav,,0.5,0.5,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1
partial_room_wind2,,,null.wav,,0,0,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1
#trench_wind,,,Stream/Backgrounds/Wind/int_wind/int_wind_01.wav,,0.4,0.4,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,,,,
bomb_far,,,SFX/Amb/bomb_far_##,,0.5,0.8,50,150,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
# Zone 1 city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
line_emit_forest,,,SFX/Amb/Wind/line_loop/light/light_00.wav,,0.8,0.8,250,3000,,,,,ambience,,,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,
line_emit_pass,,,SFX\Amb\Wind\line_loop\forest\forest_wind.wav,,0.8,0.8,250,1000,,,,,ambience,,,,2000,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,
line_emit_stream_close,,,Stream\Level\see1\stream\stream_close.wav,,0.7,0.7,500,1500,,,,,ambience,,,,1500,,,1,1,,3d,streamed,,looping,,,,,line_emit_stream_far,,,,,,,,,,,,,,,100,100,0.25,1
line_emit_stream_close2,,,Stream\Level\see1\stream\stream_close2.wav,,0.7,0.7,500,1500,,,,,ambience,,,,1500,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
line_emit_stream_far,,,Stream\Level\see1\stream\stream_far.wav,,0.7,0.7,500,2000,,,,,ambience,,,,2500,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
stream_rocks1,,,SFX\Levels\see1\stream\rocks\rocks_00.wav,,0.6,0.6,500,1000,,,,,ambience,,,,1500,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
stream_rocks2,,,SFX\Levels\see1\stream\rocks\rocks_01.wav,,0.6,0.6,500,1000,,,,,ambience,,,,1500,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
stream_rocks3,,,SFX\Levels\see1\stream\rocks\rocks_02.wav,,0.6,0.6,500,1000,,,,,ambience,,,,1500,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
wind_gust_3d,,,SFX/Amb/Wind/gusts/3d/med_##,,0.5,0.85,100,350,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,pcm,wind_gust_2d,,,,,,,,,,,,,,,,,,
wind_gust_trees_3d,,,SFX/Amb/Wind/gusts/3d/light_##,,0.15,0.5,100,350,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,,,,,,,,,,
wind_gust_2d,,,SFX/Amb/Wind/gusts/2d_##,,0.4,0.6,250,1000,,,,,ambience,,,,,,,1,1,,2d,,0.2,,,,,pcm,,,1000,,,,,,,,,,,,,,,,
see1_line_battle,,,Stream/level/ber3b/end_loop4.wav,,0.8,0.8,20000,30000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.35,,,no,,,100,100,0.25,1
see1_line_battle2,,,Stream/level/ber3b/end_loop2.wav,,0.8,0.8,1000,5000,,,,,ambience,,,,21000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,0.35,,,no,,,100,100,0.25,1


# Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_bird,,,SFX\Amb\birds\random_##,,0.3,0.4,100,1000,,,,,ambience,,curve2,,2000,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,0.3,,,,,,5,10,0.25,1
water_bird,,,SFX\Amb\animals\waterbirds_##,,0.2,0.3,100,1000,,,,,ambience,,curve2,,2000,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,0.3,,,,,,5,10,0.25,1
frogs,,,SFX\Amb\animals\frogs_##,,0.2,0.3,100,1000,,,,,ambience,,curve2,,2000,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,0.3,,,,,,5,10,0.25,1
mosquito,,,SFX\Amb\animals\mosquito_mn_##,,0.8,0.9,100,1000,,,,,ambience,,curve2,,2000,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,0.3,,,,,,5,10,0.25,1
raven,,,SFX\Amb\animals\raven_##,,0.4,0.5,100,1000,,,,,ambience,,curve2,,2000,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,5,10,0.25,1
tree_fall,,,SFX\Amb\tree_break_##,,1,1,500,4000,,,,,ambience,,,,4000,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,5,10,0.25,1
tree_creak,,,SFX\Amb\tree_creak_##,,0.5,0.6,100,1000,,,,,ambience,,curve2,,4000,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,5,10,0.25,1


#Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_dust,,,SFX/Amb/debris/wood_dust_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,amb_stone_dust,,5500,,,,,,,,,,,,,,,,
amb_wood_small,,,SFX/Amb/debris/wood_tiny_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_boards,,,SFX/Amb/debris/wood_med_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_creak,,,SFX/Amb/debris/wood_bend_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_stone_dust,,,SFX/Amb/debris/rock_dust_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,,,6000,,,,,,,,,,,,,,,,
amb_stone_small,,,SFX/Amb/debris/rock_tiny_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_stone_med,,,SFX/Amb/debris/rock_med_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


#Scripted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arty_impact,,,SFX/Destruction/Explosion_Spc_##,,0.9,1,350,12000,,,,,explosion,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
explosion_house,,,SFX\Levels\see1\barn\barn_wood.wav,,0.9,1,350,5000,,,,,explosion,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,no,,,100,100,0.25,1
explosion_right,,,SFX\Levels\see1\barn\barn_R.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,15000,,curve3,1,1,,3d,,,,,,,,,,,,,,,,,0,,,no,right_player,8,100,100,0.25,1
explosion,,,SFX\Levels\see1\barn\barn_L.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,15000,,curve3,1,1,,3d,,,,,,,,explosion_right,,,,,,,,,0,,,no,left_player,8,100,100,0.25,1

barn_door_kick,,,SFX\Levels\ber3b\ber3b_door_break.wav,,0.7,0.8,100,3000,,,,,full_vol,,curve3,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1


russian_battle_cry,,,SFX/Levels/Berlin_1/battle_cry_00.wav,,0.8,0.8,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,0.9,,,,,,,,,,,,,,,,,,,100,100,0.25,1
fly_by,,,SFX\Vehicles\Planes\P47\ARPL_P47_By10.wav,,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,0.8,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
fly_by2,,,SFX\Vehicles\Planes\P47\ARPL_P47_By12.wav,1,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,0.8,,,,,,3000,,,,,,,0,,,no,,,100,100,0.25,1
fly_by2,,,SFX\Vehicles\Planes\P47\ARPL_P47_By07.wav,2,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,0.8,,,,,,1500,,,,,,,0,,,no,,,100,100,0.25,1
klaxxon,,,SFX\Amb\siren\klaxxon\klaxxon2.wav,,1,1,1000,5000,,,,,full_vol,,,,10000,,,,,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,,,75,90,0.25,1
pa_speaker,,,Stream\vo\hol1\pa\Hol1_IGD_GEMP_000A.wav,,0.5,0.5,1000,5000,,,,,ambience,,,,,,,,,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,,,75,90,0.25,1
