name,platform,mature,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig,subtitle

# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#intro,,,Stream\Music\Mission\see2\see2_intro.wav,,0.65,0.65,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,,
mx_intro,,,Stream\Music\Mission\see2\mx_intro.wav,,0.45,0.45,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,,
mx_battle_loop,,,Stream\Music\Mission\see2\mx_battle_loop_d.wav,,0.45,0.45,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,,
mx_level_end,,,Stream\Music\Mission\see2\mx_level_end.wav,,0.5,0.5,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#outdoor_room,,,SFX/Amb/room_tones/Rhi1_room.wav,,0.3,0.3,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,
#indoor_room,,,SFX/Amb/room_tones/Rhi1_interior.wav,,0.3,0.3,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,


rocket_dirt,,,SFX/Destruction/Explosion_Debris/dirt_##,,0.75,0.95,500,3000,,,,,explosion,,,,,,,0.9,1.1,,3d,,,,,,,,rocket_impact,,,,,,,,,,,,,,,80,100,0.65,1,
rocket_impact,,,SFX/Destruction/Explosion_Impact_##,,0.25,0.35,500,16000,,,,,explosion,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,0.5,,,,,,,,,,,60,100,0.65,1,

# Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_dog_bark,,,SFX/Amb/animals/dog_##,,0.5,0.8,250,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_birds,,,SFX/Amb/animals/Old/Bird_Finch.wav,1,0.3,0.5,250,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_birds,,,SFX/Amb/animals/Old/Bird_Generic.wav,2,0.3,0.5,250,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_birds,,,SFX/Amb/animals/Old/Bird_Sparrow.wav,3,0.3,0.5,250,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_birds,,,SFX/Amb/animals/Old/Bird_Wren.wav,4,0.3,0.5,250,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_raven,,,SFX/Amb/animals/raven_##,,0.3,0.5,10,6000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,


#Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_planes,,,SFX\Levels\see2\plane_##,,0.3,0.3,5000,20000,,,,,full_vol,,curve0,,25000,,,0.8,1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,,no,,,75,100,0.5,0.8,yes
fly_by,,,SFX\Vehicles\Planes\P47\ARPL_P47_By10.wav,1,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,
fly_by,,,SFX\Vehicles\Planes\P47\ARPL_P47_By09.wav,2,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,,,,,,,1500,,,,,,,0,,,no,,,100,100,0.25,1
fly_by,,,SFX\Vehicles\Planes\P47\ARPL_P47_By03.wav,3,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,,,,,,,1500,,,,,,,0,,,no,,,100,100,0.25,1
fly_by,,,SFX\Vehicles\Planes\P47\ARPL_P47_By02.wav,4,1,1,5000,10000,,,,,vehicle,,,,,,,,,,3d,,,,,,,,,,1500,,,,,,,0,,,no,,,100,100,0.25,1

pak43_fire_scripted,,,SFX/Weapon/Cannons/model3/fire_##,,0.9,1,1000,5000,,,,,vehicle,,curve2,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,75,100,0.5,0.8
pak43_fire_scripted_dist,,,SFX/Weapon/Cannons/model3/dist_##,,0.9,1,1000,10000,,,,,vehicle,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,60,0.55,0.8
flak88_fire,,,SFX/Weapon/Cannons/model3/fire/fire_00.wav,1,0.9,1,5000,10000,,,,,hvy_wpn,,,,20000,,,1,1,,3d,,,,,,,,flak88_fire_R,,,,,,,,,0.2,,,no,left_player,4,75,100,0.5,0.8
