name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Background Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgt_wind,,null.wav,,0,,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_fountain,,Stream\Music\Mission\sniper\final\mx_fountain.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1,
mx_underscore,,Stream\Music\Mission\sniper\final\mx_brave_soldat.wav,,0.68,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.9,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
mx_underscore_delay,,Stream\Music\Mission\sniper\final\mx_brave_soldat.wav,,0.68,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.6,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
mx_underscore_mod,,Stream\Music\Mission\sniper\mx_underscore_brave_soldat_mod.wav,,0.68,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.6,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
mx_underscore_amb,,Stream\Music\Mission\sniper\mx_underscore_amb.wav,,0.68,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.6,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_sniper_stg,,Stream\Music\Mission\sniper\mx_sniper_stg.wav,,0.9,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1,
mx_dogs_stg,,Stream\Music\Mission\sniper\mx_dogs_stg.wav,,0.6,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1,
mx_sniper_loop,,Stream\Music\Mission\sniper\mx_sniper_loop.wav,,0.65,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.95,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1,
mx_run_run_run,,Stream\Music\Mission\sniper\final\mx_stag_push.wav,,0.75,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.9,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1
mx_post_sniper_stg,,Stream\Music\Mission\sniper\mx_post_sniper_stg_alt.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_pre_sniper_stg,,Stream\Music\Mission\sniper\mx_story_stg.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
#mx_run_fire,,Stream\Music\Mission\sniper\mx_dog_fire.wav,,1,,,,,,,,music,,,,,,,,,,2d,streamed,,looping,0.7,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_dog_fire_intro,,Stream\Music\Mission\sniper\mx_dog_fire_intro.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_dog_loop_a,,Stream\Music\Mission\sniper\mx_dog_fire_loop_A.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_dog_fire_celing_stg,,Stream\Music\Mission\sniper\mx_dog_fire_ceiling_stg.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_dog_loop_b,,Stream\Music\Mission\sniper\mx_dog_fire_loop_B.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_dog_fire_exp_stg,,Stream\Music\Mission\sniper\mx_dog_fire_exp_stg_b.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_stress_loop,,Stream\Music\Mission\sniper\mx_stress_loop.wav,,0.6,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_sniper_end,,Stream\Music\Mission\sniper\mx_sniper_end.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_dog_fire_long_loop,,Stream\Music\Mission\sniper\final\mx_dog_fire_long.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.7,,,,,,music,,,,,,0,,,no,no,100,100,0.25,1
