name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,reverb_min_falloff_curve,reverb_falloff_curve,randomize_type,priority,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold
# Battlechatter MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# US Redshirt 0 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_0_landmark_airfield_area1,1,battlechatter/us/0/mp/US_0_landmark_airfield_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area2,1,battlechatter/us/0/mp/US_0_landmark_airfield_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area3,1,battlechatter/us/0/mp/US_0_landmark_airfield_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area4,1,battlechatter/us/0/mp/US_0_landmark_airfield_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area5,1,battlechatter/us/0/mp/US_0_landmark_airfield_area5_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area6,1,battlechatter/us/0/mp/US_0_landmark_airfield_area6_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area7,1,battlechatter/us/0/mp/US_0_landmark_airfield_area7_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area8,1,battlechatter/us/0/mp/US_0_landmark_airfield_area8_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area9,1,battlechatter/us/0/mp/US_0_landmark_airfield_area9_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_airfield_area10,1,battlechatter/us/0/mp/US_0_landmark_airfield_area10_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area1,1,battlechatter/us/0/mp/US_0_landmark_castle_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
